コマンド名,ID,targetAngle
AbsoluteAngle,ID,double
AbsoluteAngle,001,001
AbsoluteAngle,002,002
AbsoluteAngle,003,003
AbsoluteAngle,004,004
AbsoluteAngle,005,005
AbsoluteAngle,006,006
AbsoluteAngle,007,007
AbsoluteAngle,008,008
AbsoluteAngle,009,009
AbsoluteAngle,010,010
AbsoluteAngle,011,011
AbsoluteAngle,012,012
AbsoluteAngle,013,013
AbsoluteAngle,014,014
AbsoluteAngle,015,015
AbsoluteAngle,016,016
AbsoluteAngle,017,017
AbsoluteAngle,018,018
AbsoluteAngle,019,019
AbsoluteAngle,020,020
AbsoluteAngle,021,021
AbsoluteAngle,022,022
AbsoluteAngle,023,023
AbsoluteAngle,024,024
AbsoluteAngle,025,025
AbsoluteAngle,026,026
AbsoluteAngle,027,027
AbsoluteAngle,028,028
AbsoluteAngle,029,029
AbsoluteAngle,030,030
AbsoluteAngle,031,031
AbsoluteAngle,032,032
AbsoluteAngle,033,033
AbsoluteAngle,034,034
AbsoluteAngle,035,035
AbsoluteAngle,036,036
AbsoluteAngle,037,037
AbsoluteAngle,038,038
AbsoluteAngle,039,039
AbsoluteAngle,040,040
AbsoluteAngle,041,041
AbsoluteAngle,042,042
AbsoluteAngle,043,043
AbsoluteAngle,044,044
AbsoluteAngle,045,045
AbsoluteAngle,046,046
AbsoluteAngle,047,047
AbsoluteAngle,048,048
AbsoluteAngle,049,049
AbsoluteAngle,050,050
AbsoluteAngle,051,051
AbsoluteAngle,052,052
AbsoluteAngle,053,053
AbsoluteAngle,054,054
AbsoluteAngle,055,055
AbsoluteAngle,056,056
AbsoluteAngle,057,057
AbsoluteAngle,058,058
AbsoluteAngle,059,059
AbsoluteAngle,060,060
AbsoluteAngle,061,061
AbsoluteAngle,062,062
AbsoluteAngle,063,063
AbsoluteAngle,064,064
AbsoluteAngle,065,065
AbsoluteAngle,066,066
AbsoluteAngle,067,067
AbsoluteAngle,068,068
AbsoluteAngle,069,069
AbsoluteAngle,070,070
AbsoluteAngle,071,071
AbsoluteAngle,072,072
AbsoluteAngle,073,073
AbsoluteAngle,074,074
AbsoluteAngle,075,075
AbsoluteAngle,076,076
AbsoluteAngle,077,077
AbsoluteAngle,078,078
AbsoluteAngle,079,079
AbsoluteAngle,080,080
AbsoluteAngle,081,081
AbsoluteAngle,082,082
AbsoluteAngle,083,083
AbsoluteAngle,084,084
AbsoluteAngle,085,085
AbsoluteAngle,086,086
AbsoluteAngle,087,087
AbsoluteAngle,088,088
AbsoluteAngle,089,089
AbsoluteAngle,090,090
AbsoluteAngle,091,091
AbsoluteAngle,092,092
AbsoluteAngle,093,093
AbsoluteAngle,094,094
AbsoluteAngle,095,095
AbsoluteAngle,096,096
AbsoluteAngle,097,097
AbsoluteAngle,098,098
AbsoluteAngle,099,099
AbsoluteAngle,100,100
AbsoluteAngle,101,101
AbsoluteAngle,102,102
AbsoluteAngle,103,103
AbsoluteAngle,104,104
AbsoluteAngle,105,105
AbsoluteAngle,106,106
AbsoluteAngle,107,107
AbsoluteAngle,108,108
AbsoluteAngle,109,109
AbsoluteAngle,110,110
AbsoluteAngle,111,111
AbsoluteAngle,112,112
AbsoluteAngle,113,113
AbsoluteAngle,114,114
AbsoluteAngle,115,115
AbsoluteAngle,116,116
AbsoluteAngle,117,117
AbsoluteAngle,118,118
AbsoluteAngle,119,119
