コマンド名,ID,a_kp,a_ki,a_kd,targetAbsAngle
AbsoluteRotation,ID,double,double,double,double
AbsoluteRotation,001,0.001,0.001,0.001,001
AbsoluteRotation,002,0.001,0.001,0.001,002
AbsoluteRotation,003,0.001,0.001,0.001,003
AbsoluteRotation,004,0.001,0.001,0.001,004
AbsoluteRotation,005,0.001,0.001,0.001,005
AbsoluteRotation,006,0.001,0.001,0.001,006
AbsoluteRotation,007,0.001,0.001,0.001,007
AbsoluteRotation,008,0.001,0.001,0.001,008
AbsoluteRotation,009,0.001,0.001,0.001,009
AbsoluteRotation,010,0.001,0.001,0.001,010
AbsoluteRotation,011,0.001,0.001,0.001,011
AbsoluteRotation,012,0.001,0.001,0.001,012
AbsoluteRotation,013,0.001,0.001,0.001,013
AbsoluteRotation,014,0.001,0.001,0.001,014
AbsoluteRotation,015,0.001,0.001,0.001,015
AbsoluteRotation,016,0.001,0.001,0.001,016
AbsoluteRotation,017,0.001,0.001,0.001,017
AbsoluteRotation,018,0.001,0.001,0.001,018
AbsoluteRotation,019,0.001,0.001,0.001,019
AbsoluteRotation,020,0.001,0.001,0.001,020
AbsoluteRotation,021,0.001,0.001,0.001,021
AbsoluteRotation,022,0.001,0.001,0.001,022
AbsoluteRotation,023,0.001,0.001,0.001,023
AbsoluteRotation,024,0.001,0.001,0.001,024
AbsoluteRotation,025,0.001,0.001,0.001,025
AbsoluteRotation,026,0.001,0.001,0.001,026
AbsoluteRotation,027,0.001,0.001,0.001,027
AbsoluteRotation,028,0.001,0.001,0.001,028
AbsoluteRotation,029,0.001,0.001,0.001,029
AbsoluteRotation,030,0.001,0.001,0.001,030
AbsoluteRotation,031,0.001,0.001,0.001,031
AbsoluteRotation,032,0.001,0.001,0.001,032
AbsoluteRotation,033,0.001,0.001,0.001,033
AbsoluteRotation,034,0.001,0.001,0.001,034
AbsoluteRotation,035,0.001,0.001,0.001,035
AbsoluteRotation,036,0.001,0.001,0.001,036
AbsoluteRotation,037,0.001,0.001,0.001,037
AbsoluteRotation,038,0.001,0.001,0.001,038
AbsoluteRotation,039,0.001,0.001,0.001,039
AbsoluteRotation,040,0.001,0.001,0.001,040
AbsoluteRotation,041,0.001,0.001,0.001,041
AbsoluteRotation,042,0.001,0.001,0.001,042
