GoalNavigation
Command,ID,targetX,targetY,targetSpeed,rotationKp,rotationKi,rotationKd,rightKp,rightKi,rightKd,leftKp,leftKi,leftKd,angleKp,angleKi,angleKd
GoalNavigation,GN001,800.0,-750.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN002,800.0,-1050.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN003,300.0,-1050.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN004,300.0,-500.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN005,0.0,-500.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN006,0.0,0.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN007,1050.0,0.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN008,1050.0,-300.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN009,800.0,-750.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN010,800.0,-1050.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN011,300.0,-1050.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN012,300.0,-500.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN013,0.0,-500.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN014,0.0,0.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN015,1050.0,0.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN016,1050.0,-300.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN017,800.0,-750.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN018,800.0,-1050.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN019,300.0,-1050.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN020,300.0,-500.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN021,0.0,-500.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN022,0.0,0.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN023,1050.0,0.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN024,1050.0,-300.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
GoalNavigation,GN025,800.0,-750.0,300.0,1.3,1.0,0.0,0.016,0.005,0.0015,0.016,0.0045,0.0015,0.02,0.006,0.003
