コマンド名,ID,speed,targetBrightnessOffset,kp,ki,kd,deadbandRate,maxoutRate
LineTrace,ID,double,int,double,double,double,double,double
#第1直線
LineTrace,001,500.0,0,0.03,0.001,0.008,0.01,0.05
#第1カーブ
LineTrace,002,420.0,5,0.075,0.005,0.011,0.0,1.0
#第2直線
LineTrace,003,500.0,0,0.03,0.001,0.008,0.01,0.05
#第2カーブ
LineTrace,004,420.0,5,0.072,0.0058,0.011,0.0,1.0
#第3直線
LineTrace,005,500.0,0,0.03,0.001,0.008,0.01,0.05
#第3カーブ
LineTrace,006,420.0,5,0.075,0.0058,0.011,0.0,1.0
#チェックポイント2まで
LineTrace,007,420.0,5,0.019,0.0058,0.011,0.0,1.0
#チェックポイント3まで
LineTrace,008,420.0,5,0.052,0.0058,0.011,0.0,1.0
