コマンド名,ID,a_kp,a_ki,a_kd,relativeTargetAngle
RelativeRotation,ID,double,double,double,double
RelativeRotation,-360,1.5,2.5,0.0,-360.0
RelativeRotation,-359,1.5,2.5,0.0,-359.0
RelativeRotation,-358,1.5,2.5,0.0,-358.0
RelativeRotation,-357,1.5,2.5,0.0,-357.0
RelativeRotation,-356,1.5,2.5,0.0,-356.0
RelativeRotation,-355,1.5,2.5,0.0,-355.0
RelativeRotation,-354,1.5,2.5,0.0,-354.0
RelativeRotation,-353,1.5,2.5,0.0,-353.0
RelativeRotation,-352,1.5,2.5,0.0,-352.0
RelativeRotation,-351,1.5,2.5,0.0,-351.0
RelativeRotation,-350,1.5,2.5,0.0,-350.0
RelativeRotation,-349,1.5,2.5,0.0,-349.0
RelativeRotation,-348,1.5,2.5,0.0,-348.0
RelativeRotation,-347,1.5,2.5,0.0,-347.0
RelativeRotation,-346,1.5,2.5,0.0,-346.0
RelativeRotation,-345,1.5,2.5,0.0,-345.0
RelativeRotation,-344,1.5,2.5,0.0,-344.0
RelativeRotation,-343,1.5,2.5,0.0,-343.0
RelativeRotation,-342,1.5,2.5,0.0,-342.0
RelativeRotation,-341,1.5,2.5,0.0,-341.0
RelativeRotation,-340,1.5,2.5,0.0,-340.0
RelativeRotation,-339,1.5,2.5,0.0,-339.0
RelativeRotation,-338,1.5,2.5,0.0,-338.0
RelativeRotation,-337,1.5,2.5,0.0,-337.0
RelativeRotation,-336,1.5,2.5,0.0,-336.0
RelativeRotation,-335,1.5,2.5,0.0,-335.0
RelativeRotation,-334,1.5,2.5,0.0,-334.0
RelativeRotation,-333,1.5,2.5,0.0,-333.0
RelativeRotation,-332,1.5,2.5,0.0,-332.0
RelativeRotation,-331,1.5,2.5,0.0,-331.0
RelativeRotation,-330,1.5,2.5,0.0,-330.0
RelativeRotation,-329,1.5,2.5,0.0,-329.0
RelativeRotation,-328,1.5,2.5,0.0,-328.0
RelativeRotation,-327,1.5,2.5,0.0,-327.0
RelativeRotation,-326,1.5,2.5,0.0,-326.0
RelativeRotation,-325,1.5,2.5,0.0,-325.0
RelativeRotation,-324,1.5,2.5,0.0,-324.0
RelativeRotation,-323,1.5,2.5,0.0,-323.0
RelativeRotation,-322,1.5,2.5,0.0,-322.0
RelativeRotation,-321,1.5,2.5,0.0,-321.0
RelativeRotation,-320,1.5,2.5,0.0,-320.0
RelativeRotation,-319,1.5,2.5,0.0,-319.0
RelativeRotation,-318,1.5,2.5,0.0,-318.0
RelativeRotation,-317,1.5,2.5,0.0,-317.0
RelativeRotation,-316,1.5,2.5,0.0,-316.0
RelativeRotation,-315,1.5,2.5,0.0,-315.0
RelativeRotation,-314,1.5,2.5,0.0,-314.0
RelativeRotation,-313,1.5,2.5,0.0,-313.0
RelativeRotation,-312,1.5,2.5,0.0,-312.0
RelativeRotation,-311,1.5,2.5,0.0,-311.0
RelativeRotation,-310,1.5,2.5,0.0,-310.0
RelativeRotation,-309,1.5,2.5,0.0,-309.0
RelativeRotation,-308,1.5,2.5,0.0,-308.0
RelativeRotation,-307,1.5,2.5,0.0,-307.0
RelativeRotation,-306,1.5,2.5,0.0,-306.0
RelativeRotation,-305,1.5,2.5,0.0,-305.0
RelativeRotation,-304,1.5,2.5,0.0,-304.0
RelativeRotation,-303,1.5,2.5,0.0,-303.0
RelativeRotation,-302,1.5,2.5,0.0,-302.0
RelativeRotation,-301,1.5,2.5,0.0,-301.0
RelativeRotation,-300,1.5,2.5,0.0,-300.0
RelativeRotation,-299,1.5,2.5,0.0,-299.0
RelativeRotation,-298,1.5,2.5,0.0,-298.0
RelativeRotation,-297,1.5,2.5,0.0,-297.0
RelativeRotation,-296,1.5,2.5,0.0,-296.0
RelativeRotation,-295,1.5,2.5,0.0,-295.0
RelativeRotation,-294,1.5,2.5,0.0,-294.0
RelativeRotation,-293,1.5,2.5,0.0,-293.0
RelativeRotation,-292,1.5,2.5,0.0,-292.0
RelativeRotation,-291,1.5,2.5,0.0,-291.0
RelativeRotation,-290,1.5,2.5,0.0,-290.0
RelativeRotation,-289,1.5,2.5,0.0,-289.0
RelativeRotation,-288,1.5,2.5,0.0,-288.0
RelativeRotation,-287,1.5,2.5,0.0,-287.0
RelativeRotation,-286,1.5,2.5,0.0,-286.0
RelativeRotation,-285,1.5,2.5,0.0,-285.0
RelativeRotation,-284,1.5,2.5,0.0,-284.0
RelativeRotation,-283,1.5,2.5,0.0,-283.0
RelativeRotation,-282,1.5,2.5,0.0,-282.0
RelativeRotation,-281,1.5,2.5,0.0,-281.0
RelativeRotation,-280,1.5,2.5,0.0,-280.0
RelativeRotation,-279,1.5,2.5,0.0,-279.0
RelativeRotation,-278,1.5,2.5,0.0,-278.0
RelativeRotation,-277,1.5,2.5,0.0,-277.0
RelativeRotation,-276,1.5,2.5,0.0,-276.0
RelativeRotation,-275,1.5,2.5,0.0,-275.0
RelativeRotation,-274,1.5,2.5,0.0,-274.0
RelativeRotation,-273,1.5,2.5,0.0,-273.0
RelativeRotation,-272,1.5,2.5,0.0,-272.0
RelativeRotation,-271,1.5,2.5,0.0,-271.0
RelativeRotation,-270,1.5,2.5,0.0,-270.0
RelativeRotation,-269,1.5,2.5,0.0,-269.0
RelativeRotation,-268,1.5,2.5,0.0,-268.0
RelativeRotation,-267,1.5,2.5,0.0,-267.0
RelativeRotation,-266,1.5,2.5,0.0,-266.0
RelativeRotation,-265,1.5,2.5,0.0,-265.0
RelativeRotation,-264,1.5,2.5,0.0,-264.0
RelativeRotation,-263,1.5,2.5,0.0,-263.0
RelativeRotation,-262,1.5,2.5,0.0,-262.0
