Command,ID,Speed,AngleKp,AngleKi,AngleKd,UseIMU,DeadbandRate,MaxoutRate
コマンド名,動作ID,走行速度,角度P,角度I,角度D,IMUを使うか,デッドバンド,マックスアウト
Straight,LineBottle001,300,0.001,0.001,0.001,true,0.0,1.0
Straight,LineBottle002,300,0.01,0.003,0.003,true,0.0,1.0
Straight,LineBottle003,150,0.03,0.003,0.003,true,0.0,1.0
Straight,LineBottle004,-150,0.03,0.003,0.003,true,0.0,1.0
Straight,LineBottle005,50,0.001,0.001,0.001,true,0.0,1.0
Straight,LineBottle-001,-200,0.001,0.001,0.001,true,0.0,1.0
Straight,001,300,0.033,0.003,0.03,true,0.24,0.54
Straight,-001,-300,0.033,0.003,0.03,true,0.24,0.54
Straight,002,300,0.033,0.003,0.03,true,0.03,1.0
Straight,003,-190,0.033,0.003,0.03,true,0.0,1.0
Straight,004,300,0.033,0.003,0.03,true,0.0,1.0
Straight,005,100,0.033,0.003,0.03,true,0.0,1.0
